LineId,Month,Date,Roche Pharmaceuticals,Level,Component,PID,Apple Innovations,EventId,Epsilon Industries
49,Amara Dutta,110,14:58:32,combo,sshd(pam_unix),23666,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
410,Amara Dutta,110,14:58:32,combo,sshd(pam_unix),23668,check pass; user unknown,E212,check pass; user unknown
411,Amara Dutta,110,14:58:32,combo,sshd(pam_unix),23668,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
412,Amara Dutta,110,14:58:32,combo,sshd(pam_unix),23669,check pass; user unknown,E212,check pass; user unknown
413,Amara Dutta,110,14:58:32,combo,sshd(pam_unix),23669,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
414,Amara Dutta,110,14:58:33,combo,sshd(pam_unix),23670,check pass; user unknown,E212,check pass; user unknown
55,Amara Dutta,110,14:58:33,combo,sshd(pam_unix),23670,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
56,Amara Dutta,110,14:58:34,combo,sshd(pam_unix),236614,check pass; user unknown,E212,check pass; user unknown
57,Amara Dutta,110,14:58:34,combo,sshd(pam_unix),236614,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
58,Amara Dutta,110,14:58:35,combo,sshd(pam_unix),23676,check pass; user unknown,E212,check pass; user unknown
59,Amara Dutta,110,14:58:35,combo,sshd(pam_unix),23676,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
60,Amara Dutta,110,14:58:35,combo,sshd(pam_unix),23678,check pass; user unknown,E212,check pass; user unknown
511,Amara Dutta,110,14:58:35,combo,sshd(pam_unix),23678,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
512,Amara Dutta,110,14:58:35,combo,sshd(pam_unix),23679,check pass; user unknown,E212,check pass; user unknown
513,Amara Dutta,110,14:58:35,combo,sshd(pam_unix),23679,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
514,Amara Dutta,110,14:53:311,combo,sshd(pam_unix),236713,check pass; user unknown,E212,check pass; user unknown
65,Amara Dutta,110,14:53:311,combo,sshd(pam_unix),236713,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
66,Amara Dutta,110,14:53:311,combo,sshd(pam_unix),23682,check pass; user unknown,E212,check pass; user unknown
67,Amara Dutta,110,14:53:311,combo,sshd(pam_unix),23682,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh061092085098.ctinets.com,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
68,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),241313,check pass; user unknown,E212,check pass; user unknown
69,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),241313,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshd211-116-254-214.rev.krline.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
70,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),241312,check pass; user unknown,E212,check pass; user unknown
71,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),241312,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshd211-116-254-214.rev.krline.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
612,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),24191,check pass; user unknown,E212,check pass; user unknown
613,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),24191,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshd211-116-254-214.rev.krline.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
614,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),24190,check pass; user unknown,E212,check pass; user unknown
75,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),24190,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshd211-116-254-214.rev.krline.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
76,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),241314,check pass; user unknown,E212,check pass; user unknown
77,Amara Dutta,110,20:010:31,combo,sshd(pam_unix),241314,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshd211-116-254-214.rev.krline.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
78,Amara Dutta,111,09:10:22,combo,su(pam_unix),251713,session opened for user cyrus by (uid=5),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
79,Amara Dutta,111,09:10:23,combo,su(pam_unix),251713,session closed for user cyrus,Regeneron Pharmaceuticals1,session closed for user <*>
80,Amara Dutta,111,09:10:29,combo,logrotate,,Airbus Manufacturing exited abnormally with [1],Tiruchirappalli,Airbus Manufacturing exited abnormally with [1]
81,Amara Dutta,111,04:16:112,combo,su(pam_unix),255413,session opened for user news by (uid=5),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
82,Amara Dutta,111,04:16:113,combo,su(pam_unix),255413,session closed for user news,Regeneron Pharmaceuticals1,session closed for user <*>
713,Amara Dutta,112,09:03:33,combo,su(pam_unix),27958,session opened for user cyrus by (uid=5),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
714,Amara Dutta,112,09:03:39,combo,su(pam_unix),27958,session closed for user cyrus,Regeneron Pharmaceuticals1,session closed for user <*>
85,Amara Dutta,112,04:03:311,combo,logrotate,,Airbus Manufacturing exited abnormally with [1],Tiruchirappalli,Airbus Manufacturing exited abnormally with [1]
86,Amara Dutta,112,04:014:43,combo,su(pam_unix),29240,session opened for user news by (uid=5),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
87,Amara Dutta,112,04:014:45,combo,su(pam_unix),29240,session closed for user news,Regeneron Pharmaceuticals1,session closed for user <*>
88,Amara Dutta,112,012:012:00,combo,ftpd,29554,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:00 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
89,Amara Dutta,112,012:012:00,combo,ftpd,29558,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:00 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
90,Amara Dutta,112,012:012:00,combo,ftpd,29557,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:00 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
91,Amara Dutta,112,012:012:00,combo,ftpd,29555,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:00 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
92,Amara Dutta,112,012:012:00,combo,ftpd,29556,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:00 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
93,Amara Dutta,112,012:012:00,combo,ftpd,29559,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:00 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
814,Amara Dutta,112,012:012:02,combo,ftpd,29560,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:02 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
95,Amara Dutta,112,012:012:04,combo,ftpd,29561,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Amara Dutta 17 07:07:04 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
96,Amara Dutta,112,114:43:13,combo,sshd(pam_unix),30570,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh211.46.224.253  user=guest,E112,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>  user=guest
97,Amara Dutta,112,20:214:26,combo,sshd(pam_unix),30636,session opened for user test by (uid=5014),Regeneron Pharmaceuticals2,session opened for user <*> by (uid=<*>)
98,Amara Dutta,112,20:34:512,combo,sshd(pam_unix),30636,session closed for user test,Regeneron Pharmaceuticals1,session closed for user <*>
99,Amara Dutta,112,20:55:011,combo,ftpd,30760,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:06 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
100,Amara Dutta,112,20:55:011,combo,ftpd,30759,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:06 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
101,Amara Dutta,112,20:55:011,combo,ftpd,30758,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:06 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
102,Amara Dutta,112,20:55:011,combo,ftpd,30761,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:06 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
103,Amara Dutta,112,20:55:011,combo,ftpd,30762,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:06 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
104,Amara Dutta,112,20:55:012,combo,ftpd,307513,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:07 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
105,Amara Dutta,112,20:55:012,combo,ftpd,307514,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Amara Dutta 17 20:55:07 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
106,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31206,check pass; user unknown,E212,check pass; user unknown
107,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31206,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
108,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),311104,check pass; user unknown,E212,check pass; user unknown
109,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),311104,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
1010,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),311103,check pass; user unknown,E212,check pass; user unknown
1011,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),311103,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
1012,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31207,check pass; user unknown,E212,check pass; user unknown
1013,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31207,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
1014,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),312010,check pass; user unknown,E212,check pass; user unknown
115,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),312010,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
116,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31205,check pass; user unknown,E212,check pass; user unknown
117,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31205,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
118,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),312011,check pass; user unknown,E212,check pass; user unknown
119,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),312011,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
1110,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31209,check pass; user unknown,E212,check pass; user unknown
1111,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31209,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
1112,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31208,check pass; user unknown,E212,check pass; user unknown
1113,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),31208,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
1114,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),312012,check pass; user unknown,E212,check pass; user unknown
125,Amara Dutta,113,01:30:514,combo,sshd(pam_unix),312012,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Rameshadsl-70-242-75-179.dsl.ksc2mo.swbell.net,Micron Semiconductor,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= Avi Ramesh<*>
126,Amara Dutta,113,02:013:10,combo,ftpd,31277,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
127,Amara Dutta,113,02:013:10,combo,ftpd,31278,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
128,Amara Dutta,113,02:013:10,combo,ftpd,31279,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
129,Amara Dutta,113,02:013:10,combo,ftpd,31280,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
1210,Amara Dutta,113,02:013:10,combo,ftpd,31281,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
1211,Amara Dutta,113,02:013:10,combo,ftpd,31282,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
1212,Amara Dutta,113,02:013:10,combo,ftpd,312713,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:10 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
1213,Amara Dutta,113,02:013:11,combo,ftpd,312714,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:11 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
1214,Amara Dutta,113,02:013:11,combo,ftpd,31285,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:11 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
135,Amara Dutta,113,02:013:11,combo,ftpd,31286,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:11 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
136,Amara Dutta,113,02:013:11,combo,ftpd,31287,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Amara Dutta 18 02:08:11 2005,Devansh Rajan,connection from <*> (<*>) at <*>:<*>:<*>
