company_names,government_bodies
ABB Robotics,National Trade Commission
Honeywell Technologies,Department of Communications
Rockwell Automation,Department of Economic Growth
3M Manufacturing,National Broadcasting Authority
BASF Industrial Solutions,National Telecommunications Agency
Apple Global Inc.,Federal Office of National Security
Samsung Technologies,Ministry of Transport and Logistics
Sony Electronics,International Relations Bureau
LG Electronics,National Infrastructure Development Authority
Panasonic Innovations,Bureau of Financial Oversight
Sharp Electronics,Ministry of Water Conservation
Toshiba Corporation,Public Sector Reform Commission
Acer Technologies,Environmental Impact Assessment Bureau
Dell Technologies,National Education Commission
Lenovo Solutions,Government Procurement Agency
Xerox Systems,Department of Digital Transformation
Acer Electronics,Public Works and Development Ministry
Qualcomm Technologies,Ministry of Disaster Preparedness
Broadcom Inc.,National Population Control Board
Micron Semiconductor,Ministry of Innovation and Technology
NVIDIA Corporation,Department of Regional Affairs
Texas Instruments,Central Data Protection Bureau
Advanced Micro Devices,Ministry of National Heritage and Culture
Intel Systems,Department of Labor Relations
AMD Technologies,National Taxation Bureau
SpaceX Innovations,Department of Health and Social Welfare
Blue Origin Aerospace,Ministry of National Resources
Virgin Galactic,Bureau of Public Accountability
Northrop Grumman,Department of State Security
Boeing Aerospace,Ministry of Strategic Defense
Raytheon Technologies,National Audit Authority
Lockheed Martin Aerospace,Department of International Security
General Dynamics Corp.,Ministry of Urban Development and Planning
Aetna Health Insurance,Central Coordination Bureau
UnitedHealth Group,National Immigration and Border Affairs
Anthem Health Solutions,Department of Legal Affairs
Cigna Healthcare,National Science and Research Bureau
Humana Inc.,Ministry of Infrastructure and Connectivity
CVS Health,Central Health and Safety Department
BlueCross BlueShield,Ministry of Peace and Security
Mayo Clinic Healthcare,Department of Civil Rights
Medicare Solutions,National Bureau of Anti-Corruption
Kaiser Permanente Health,Public Administration and Governance Office
HCA Healthcare,Ministry of Social Welfare
Cigna Global Services,Department of Emergency Management
Eli Lilly Pharmaceuticals,National Cybersecurity Bureau
Merck Group,Ministry of Natural Resources and Conservation
AstraZeneca Healthcare,Department of Foreign Trade
AbbVie Global,National Health and Safety Agency
Sanofi Group,Department of Urban Affairs
Roche Pharmaceuticals,Ministry of Technology and Digital Innovation
Gilead Sciences,Central Defense and Security Office
